date,temperature,humidity,luminosity
2020-12-02 16:09:33.084,19.1,16.7,153
2020-12-02 16:09:30.806,19.1,16.7,153
2020-12-02 16:09:28.525,19.1,16.6,153
2020-12-02 16:09:26.247,19.1,16.6,153
2020-12-02 16:09:23.966,19.1,16.6,153
2020-12-02 16:09:21.688,19.1,16.6,153
2020-12-02 16:09:19.411,19.1,16.6,153
2020-12-02 16:09:17.129,19.1,16.6,152
2020-12-02 16:09:14.852,19.1,16.6,152
2020-12-02 16:09:12.570,19.1,16.5,154
2020-12-02 16:09:10.292,19.1,16.6,154
2020-12-02 16:09:08.015,19.1,16.5,153
2020-12-02 16:09:05.733,19.1,16.5,153
2020-12-02 16:09:03.456,19.1,16.5,152
2020-12-02 16:09:01.174,19.1,16.5,153
2020-12-02 16:08:58.897,19.1,16.6,153
2020-12-02 16:08:56.619,19.1,16.6,154
2020-12-02 16:08:54.338,19.1,16.6,154
2020-12-02 16:08:52.060,19.1,16.6,154
2020-12-02 16:08:49.778,19.1,16.6,153
2020-12-02 16:08:47.501,19.1,16.7,153
2020-12-02 16:08:45.219,19.1,16.7,153
2020-12-02 16:08:42.942,19.1,16.7,152
2020-12-02 16:08:40.664,19.2,16.7,152
2020-12-02 16:08:38.383,19.1,16.7,153
2020-12-02 16:08:36.105,19.1,16.7,152
2020-12-02 16:08:33.824,19.1,16.7,153
2020-12-02 16:08:31.546,19.1,16.7,153
2020-12-02 16:08:29.265,19.1,16.7,153
2020-12-02 16:08:26.987,19.1,16.7,152
2020-12-02 16:08:24.710,19.1,16.7,152
2020-12-02 16:08:22.428,19.1,16.7,152
2020-12-02 16:08:20.150,19.1,16.7,152
2020-12-02 16:08:17.869,19.1,16.8,152
2020-12-02 16:08:15.591,19.1,16.8,152
2020-12-02 16:08:13.314,19.1,16.7,152
2020-12-02 16:08:11.032,19.1,16.7,152
2020-12-02 16:08:08.755,19.1,16.7,153
2020-12-02 16:08:06.473,19.1,16.7,153
2020-12-02 16:08:04.196,19.1,16.6,152
2020-12-02 16:08:01.914,19.1,16.6,153
2020-12-02 16:07:59.637,19.1,16.6,152
2020-12-02 16:07:57.359,19.1,16.6,152
2020-12-02 16:07:55.077,19.1,16.6,152
2020-12-02 16:07:52.800,19.1,16.6,153
2020-12-02 16:07:50.519,19.1,16.6,156
2020-12-02 16:07:48.241,19.1,16.6,153
2020-12-02 16:07:45.959,19.1,16.6,153
2020-12-02 16:07:43.682,19.1,16.6,154
2020-12-02 16:07:41.404,19.1,16.6,153
2020-12-02 16:07:39.123,19.1,16.6,153
2020-12-02 16:07:36.845,19.1,16.6,153
2020-12-02 16:07:34.564,19.1,16.6,152
2020-12-02 16:07:32.286,19.1,16.6,153
2020-12-02 16:07:30.009,19.1,16.6,152
2020-12-02 16:07:27.727,19.1,16.6,153
2020-12-02 16:07:25.450,19.1,16.6,152
2020-12-02 16:07:23.168,19.1,16.6,152
2020-12-02 16:07:20.890,19.1,16.6,154
2020-12-02 16:07:18.613,19.1,16.6,152
2020-12-02 16:07:16.331,19.1,16.6,152
2020-12-02 16:07:14.054,19.1,16.6,153
2020-12-02 16:07:11.772,19.1,16.6,153
2020-12-02 16:07:09.495,19.1,16.6,153
2020-12-02 16:07:07.213,19.1,16.5,153
2020-12-02 16:07:04.936,19.1,16.5,152
2020-12-02 16:07:02.658,19.1,16.6,152
2020-12-02 16:07:00.377,19.1,16.6,152
2020-12-02 16:06:58.099,19.1,16.6,153
2020-12-02 16:06:55.818,19.1,16.6,153
2020-12-02 16:06:53.540,19.1,16.6,153
2020-12-02 16:06:51.263,19.1,16.7,153
2020-12-02 16:06:48.981,19.1,16.7,153
2020-12-02 16:06:46.704,19.1,16.7,153
2020-12-02 16:06:44.422,19.1,16.7,153
2020-12-02 16:06:42.145,19.1,16.8,152
2020-12-02 16:06:39.863,19.1,16.7,153
2020-12-02 16:06:37.585,19.1,16.7,152
2020-12-02 16:06:35.308,19.1,16.8,152
2020-12-02 16:06:33.026,19.1,16.8,151
2020-12-02 16:06:30.749,19.1,16.8,151
2020-12-02 16:06:28.467,19.1,16.8,151
2020-12-02 16:06:26.190,19.1,16.8,151
2020-12-02 16:06:23.912,19.1,16.8,152
2020-12-02 16:06:21.631,19.1,16.8,153
2020-12-02 16:06:19.353,19.1,16.8,153
2020-12-02 16:06:17.072,19.1,16.7,153
2020-12-02 16:06:14.794,19.1,16.7,153
2020-12-02 16:06:12.513,19.1,16.7,152
2020-12-02 16:06:10.235,19.1,16.7,152
2020-12-02 16:06:07.957,19.1,16.7,152
2020-12-02 16:06:05.676,19.1,16.6,152
2020-12-02 16:06:03.398,19.1,16.6,152
2020-12-02 16:06:01.117,19.1,16.5,153
2020-12-02 16:05:58.839,19.1,16.5,153
2020-12-02 16:05:56.557,19.1,16.5,153
2020-12-02 16:05:54.280,19.1,16.5,152
2020-12-02 16:05:52.002,19.1,16.5,153
2020-12-02 16:05:49.721,19.1,16.4,152
2020-12-02 16:05:47.443,19.1,16.4,152
2020-12-02 16:05:45.162,19.1,16.4,152
2020-12-02 16:05:42.884,19.1,16.4,153
2020-12-02 16:05:40.607,19.1,16.4,152
2020-12-02 16:05:38.325,19.1,16.4,153
2020-12-02 16:05:36.048,19.1,16.4,153
2020-12-02 16:05:33.766,19.1,16.4,152
2020-12-02 16:05:31.489,19.1,16.4,153
2020-12-02 16:05:29.211,19.1,16.4,153
